timestamp,tenant_id,user_id,resource_id,event_type,status,ip_address,anomaly_injected
2025-08-26 07:05:07,2,T02U023,RES_565,UPLOAD,SUCCESS,10.208.223.2,0
2025-08-26 07:22:47,2,T02U011,RES_668,UPDATE,SUCCESS,10.27.24.98,0
2025-08-26 08:12:44,2,T02U032,RES_575,UPDATE,FAIL,10.8.24.56,0
2025-08-26 08:41:27,2,T02U031,RES_273,UPDATE,SUCCESS,10.190.71.63,0
2025-08-26 08:51:30,2,T02U016,RES_235,LOGIN,SUCCESS,10.184.167.180,0
2025-08-26 08:56:03,2,T02U037,RES_217,LOGIN,SUCCESS,24.238.193.218,0
2025-08-26 09:05:10,2,T02U029,RES_590,UPDATE,SUCCESS,192.168.213.161,0
2025-08-26 09:07:07,2,T02U043,RES_980,DOWNLOAD,FAIL,10.8.24.56,0
2025-08-26 09:31:55,2,T02U018,RES_169,LOGIN,SUCCESS,10.208.223.2,0
2025-08-26 09:37:49,2,T02U035,RES_418,DOWNLOAD,SUCCESS,192.168.138.32,0
2025-08-26 09:41:14,2,T02U005,RES_235,UPDATE,SUCCESS,192.168.59.198,0
2025-08-26 09:54:09,2,T02U010,RES_699,LOGIN,SUCCESS,192.168.213.161,0
2025-08-26 09:55:31,2,T02U036,RES_166,ADMIN_ACTION,SUCCESS,173.116.31.64,0
2025-08-26 10:22:48,2,T02U010,RES_147,UPDATE,SUCCESS,192.168.213.161,0
2025-08-26 10:48:18,2,T02U038,RES_131,LOGIN,FAIL,10.89.155.68,0
2025-08-26 11:01:58,2,T02U005,RES_456,LOGIN,SUCCESS,10.115.151.72,0
2025-08-26 11:04:11,2,T02U020,RES_727,ADMIN_ACTION,SUCCESS,173.64.149.153,0
2025-08-26 11:07:15,2,T02U012,RES_686,LOGIN,SUCCESS,192.168.250.237,0
2025-08-26 11:36:15,2,T02U039,RES_195,DOWNLOAD,SUCCESS,192.168.187.118,0
2025-08-26 11:43:06,2,T02U022,RES_315,UPLOAD,SUCCESS,73.254.237.164,0
2025-08-26 11:46:03,2,T02U001,RES_721,ADMIN_ACTION,SUCCESS,192.168.221.93,0
2025-08-26 12:03:37,2,T02U047,RES_668,UPDATE,SUCCESS,24.138.55.130,0
2025-08-26 12:14:01,2,T02U043,RES_221,UPLOAD,SUCCESS,192.168.142.76,0
2025-08-26 12:26:23,2,T02U037,RES_816,UPLOAD,SUCCESS,98.41.117.1,0
2025-08-26 12:27:03,2,T02U012,RES_503,DOWNLOAD,SUCCESS,192.168.59.198,0
2025-08-26 12:27:51,2,T02U044,RES_403,UPLOAD,SUCCESS,10.115.151.72,0
2025-08-26 12:30:37,2,T02U028,RES_626,DOWNLOAD,FAIL,192.168.221.93,0
2025-08-26 12:36:03,2,T02U041,RES_181,UPLOAD,SUCCESS,24.104.187.87,0
2025-08-26 12:39:27,2,T02U030,RES_785,UPLOAD,SUCCESS,73.126.5.29,0
2025-08-26 12:40:49,2,T02U032,RES_950,UPDATE,SUCCESS,10.8.24.56,0
2025-08-26 12:47:51,2,T02U019,RES_661,UPLOAD,SUCCESS,10.8.24.56,0
2025-08-26 12:55:18,2,T02U026,RES_2,DOWNLOAD,SUCCESS,24.238.193.218,0
2025-08-26 12:59:23,2,T02U033,RES_835,LOGIN,SUCCESS,192.168.142.76,0
2025-08-26 13:04:13,2,T02U049,RES_390,DOWNLOAD,FAIL,10.164.29.7,0
2025-08-26 13:28:22,2,T02U022,RES_459,UPDATE,SUCCESS,73.254.237.164,0
2025-08-26 13:48:10,2,T02U049,RES_869,LOGIN,SUCCESS,10.25.92.217,0
2025-08-26 13:49:34,2,T02U007,RES_492,DOWNLOAD,SUCCESS,10.246.196.87,0
2025-08-26 13:57:50,2,T02U007,RES_755,DOWNLOAD,SUCCESS,10.27.24.98,0
2025-08-26 14:03:19,2,T02U009,RES_796,DOWNLOAD,SUCCESS,10.60.130.155,0
2025-08-26 14:20:39,2,T02U038,RES_151,UPLOAD,SUCCESS,192.168.213.161,0
2025-08-26 14:22:56,2,T02U007,RES_21,UPDATE,SUCCESS,10.195.207.41,0
2025-08-26 14:52:37,2,T02U050,RES_348,UPLOAD,SUCCESS,10.27.24.98,0
2025-08-26 14:53:27,2,T02U009,RES_131,LOGIN,SUCCESS,192.168.250.237,0
2025-08-26 14:57:02,2,T02U005,RES_444,DOWNLOAD,SUCCESS,192.168.59.198,0
2025-08-26 14:57:47,2,T02U046,RES_347,UPLOAD,SUCCESS,10.179.109.88,0
2025-08-26 15:11:22,2,T02U011,RES_548,LOGIN,SUCCESS,192.168.207.12,0
2025-08-26 15:12:40,2,T02U001,RES_400,ADMIN_ACTION,SUCCESS,10.58.36.189,0
2025-08-26 15:36:22,2,T02U007,RES_789,UPLOAD,SUCCESS,10.27.24.98,0
2025-08-26 15:36:33,2,T02U001,RES_311,DOWNLOAD,SUCCESS,10.58.36.189,0
2025-08-26 16:09:57,2,T02U032,RES_876,UPLOAD,SUCCESS,10.195.207.41,0
2025-08-26 16:10:51,2,T02U049,RES_964,UPDATE,SUCCESS,10.25.92.217,0
2025-08-26 16:12:27,2,T02U028,RES_107,DOWNLOAD,SUCCESS,192.168.159.227,0
2025-08-26 16:17:14,2,T02U020,RES_519,ADMIN_ACTION,SUCCESS,73.42.95.91,0
2025-08-26 16:21:02,2,T02U041,RES_553,ADMIN_ACTION,SUCCESS,24.104.187.87,0
2025-08-26 16:26:41,2,T02U021,RES_856,LOGIN,SUCCESS,10.140.108.57,0
2025-08-26 17:01:04,2,T02U027,RES_576,UPLOAD,SUCCESS,73.102.34.172,0
2025-08-26 17:10:35,2,T02U050,RES_994,UPDATE,FAIL,10.27.24.98,0
2025-08-26 17:19:31,2,T02U040,RES_890,LOGIN,SUCCESS,192.168.148.50,0
2025-08-26 17:25:39,2,T02U008,RES_45,LOGIN,SUCCESS,73.109.106.120,0
2025-08-26 17:30:04,2,T02U050,RES_577,LOGIN,SUCCESS,10.140.108.57,0
2025-08-26 17:39:35,2,T02U027,RES_400,UPLOAD,SUCCESS,73.102.34.172,0
2025-08-26 17:39:52,2,T02U023,RES_572,UPDATE,SUCCESS,10.8.24.56,0
2025-08-26 17:55:06,2,T02U022,RES_370,ADMIN_ACTION,SUCCESS,184.44.137.187,0
2025-08-26 18:10:58,2,T02U010,RES_854,UPDATE,FAIL,10.208.223.2,0
2025-08-26 18:17:01,2,T02U027,RES_505,ADMIN_ACTION,SUCCESS,208.61.104.31,0
2025-08-26 19:25:50,2,T02U033,RES_60,ADMIN_ACTION,SUCCESS,192.168.213.161,0
2025-08-26 19:43:31,2,T02U023,RES_796,UPDATE,FAIL,10.8.24.56,0
2025-08-26 19:44:12,2,T02U041,RES_774,LOGIN,SUCCESS,24.104.187.87,0
2025-08-26 20:49:12,2,T02U007,RES_10,UPLOAD,SUCCESS,10.246.196.87,0
2025-08-26 21:43:23,2,T02U050,RES_886,UPDATE,SUCCESS,10.27.24.98,0
2025-08-26 21:53:44,2,T02U022,RES_578,ADMIN_ACTION,SUCCESS,184.44.137.187,0
2025-08-27 07:13:42,2,T02U034,RES_565,UPLOAD,SUCCESS,10.140.108.57,0
2025-08-27 07:15:32,2,T02U038,RES_291,ADMIN_ACTION,SUCCESS,10.89.155.68,0
2025-08-27 07:15:35,2,T02U048,RES_988,ADMIN_ACTION,SUCCESS,192.168.159.227,0
2025-08-27 07:28:56,2,T02U043,RES_942,UPDATE,SUCCESS,192.168.142.76,0
